nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
         1, 0.000000000E+00,-2.500000000E-01, 1.021624656E-01,-3.242572674E-02
         2, 2.500000000E-01,-2.500000000E-01, 7.780396713E-02, 7.268042311E-03
         3, 1.280092601E-02,-2.500000000E-01, 1.019114683E-01,-2.900736114E-02
         4, 2.600156209E-02,-2.500000000E-01, 1.012847887E-01,-2.548110024E-02
         5, 3.963712620E-02,-2.500000000E-01, 1.003087952E-01,-2.192079752E-02
         6, 5.369315245E-02,-2.500000000E-01, 9.902176679E-02,-1.841330627E-02
         7, 6.808044543E-02,-2.500000000E-01, 9.748259077E-02,-1.504514331E-02
         8, 8.280803821E-02,-2.500000000E-01, 9.575924335E-02,-1.186961871E-02
         9, 9.788397990E-02,-2.500000000E-01, 9.392596979E-02,-8.921717568E-03
        10, 1.133099589E-01,-2.500000000E-01, 9.202616890E-02,-6.207753491E-03
        11, 1.290763065E-01,-2.500000000E-01, 9.009801220E-02,-3.737979427E-03
        12, 1.451892350E-01,-2.500000000E-01, 8.817745176E-02,-1.513931084E-03
        13, 1.616541052E-01,-2.500000000E-01, 8.629049554E-02, 4.700285261E-04
        14, 1.784696361E-01,-2.500000000E-01, 8.446050466E-02, 2.223428994E-03
        15, 1.956423407E-01,-2.500000000E-01, 8.269951105E-02, 3.761168545E-03
        16, 2.132223708E-01,-2.500000000E-01, 8.100645951E-02, 5.105925666E-03
        17, 2.313370849E-01,-2.500000000E-01, 7.936874224E-02, 6.274668839E-03
        18, 0.000000000E+00,-2.625057602E-01, 1.020621960E-01,-3.229749968E-02
        19, 0.000000000E+00,-2.750101485E-01, 1.013577784E-01,-3.181461537E-02
        20, 0.000000000E+00,-2.875142143E-01, 1.001482379E-01,-3.101702525E-02
        21, 0.000000000E+00,-3.000182801E-01, 9.853189027E-02,-2.996502064E-02
        22, 0.000000000E+00,-3.125223460E-01, 9.659904285E-02,-2.870044279E-02
        23, 0.000000000E+00,-3.250264118E-01, 9.443026246E-02,-2.726120857E-02
        24, 0.000000000E+00,-3.375304776E-01, 9.209972604E-02,-2.567867151E-02
        25, 0.000000000E+00,-3.500345434E-01, 8.967290102E-02,-2.398066783E-02
        26, 0.000000000E+00,-3.625386092E-01, 8.720971550E-02,-2.219033116E-02
        27, 0.000000000E+00,-3.750426751E-01, 8.476520135E-02,-2.032734974E-02
        28, 0.000000000E+00,-3.875467409E-01, 8.238990453E-02,-1.840774396E-02
        29, 0.000000000E+00,-4.000508067E-01, 8.013019783E-02,-1.644307161E-02
        30, 0.000000000E+00,-4.125548725E-01, 7.802876351E-02,-1.444386024E-02
        31, 0.000000000E+00,-4.250589383E-01, 7.612462610E-02,-1.241755635E-02
        32, 0.000000000E+00,-4.375630042E-01, 7.445231130E-02,-1.037081140E-02
        33, 0.000000000E+00,-4.500670700E-01, 7.304123998E-02,-8.309076199E-03
        34, 0.000000000E+00,-4.625711358E-01, 7.191675176E-02,-6.236515973E-03
        35, 0.000000000E+00,-4.750692956E-01, 7.109970477E-02,-4.157839646E-03
        36, 0.000000000E+00,-4.875372128E-01, 7.060485661E-02,-2.079619943E-03
        37, 0.000000000E+00, 2.500000000E-01, 1.756122198E-01, 1.769648689E-02
        38, 0.000000000E+00, 4.875368205E-01, 2.058771922E-01, 5.620958949E-04
        39, 0.000000000E+00, 4.750689015E-01, 2.055147489E-01, 1.130795451E-03
        40, 0.000000000E+00, 4.625707410E-01, 2.049179012E-01, 1.714046933E-03
        41, 0.000000000E+00, 4.500666752E-01, 2.040994834E-01, 2.316497735E-03
