t,x,y
0.000000,1.500000,2.000000
0.100000,1.575000,2.150000
0.200000,1.617500,2.250000
0.300000,1.651375,2.347750
0.400000,1.678544,2.441750
0.500000,1.698882,2.531301
0.600000,1.712179,2.615503
0.700000,1.718301,2.693508
0.800000,1.717187,2.764530
0.900000,1.708845,2.827851
1.000000,1.693362,2.882835
1.100000,1.670891,2.928926
1.200000,1.641659,2.965660
1.300000,1.605961,2.992666
1.400000,1.564155,3.009672
1.500000,1.516663,3.016505
1.600000,1.463962,3.013096
1.700000,1.406585,2.999479
1.800000,1.345107,2.975791
1.900000,1.280149,2.942270
2.000000,1.212365,2.899253
2.100000,1.142438,2.847173
2.200000,1.071072,2.786555
2.300000,0.998986,2.718008
2.400000,0.926907,2.642223
2.500000,0.855561,2.559964
2.600000,0.785666,2.472058
2.700000,0.717928,2.379391
2.800000,0.653028,2.282897
2.900000,0.591621,2.183548
3.000000,0.534325,2.082344
3.100000,0.481718,1.980305
3.200000,0.434331,1.878460
3.300000,0.392641,1.777833
3.400000,0.357069,1.679441
3.500000,0.327973,1.584273
3.600000,0.305647,1.493289
3.700000,0.290315,1.407406
3.800000,0.282134,1.327489
3.900000,0.281185,1.254345
4.000000,0.287479,1.188710
4.100000,0.300952,1.131246
4.200000,0.321470,1.082532
4.300000,0.348825,1.043060
4.400000,0.382743,1.013228
4.500000,0.422882,0.993337
4.600000,0.468838,0.983588
4.700000,0.520148,0.984080
4.800000,0.576295,0.994808
4.900000,0.636715,1.015665
5.000000,0.700798,1.046440
5.100000,0.767900,1.086826
5.200000,0.837343,1.136414
5.300000,0.908428,1.194706
5.400000,0.980440,1.261115
5.500000,1.052653,1.334972
5.600000,1.124339,1.415534
5.700000,1.194776,1.501989
5.800000,1.263253,1.593466
5.900000,1.329082,1.689044
6.000000,1.391598,1.787760
6.100000,1.450172,1.888620
6.200000,1.504213,1.990606
6.300000,1.553177,2.092693
6.400000,1.596569,2.193851
6.500000,1.633952,2.293061
6.600000,1.664950,2.389323
6.700000,1.689250,2.481668
6.800000,1.706605,2.569164
6.900000,1.716843,2.650929
7.000000,1.719858,2.726140
7.100000,1.715620,2.794039
7.200000,1.704171,2.853940
7.300000,1.685626,2.905240
7.400000,1.660173,2.947422
7.500000,1.628066,2.980060
7.600000,1.589629,3.002825
7.700000,1.545250,3.015486
7.800000,1.495374,3.017916
7.900000,1.440505,3.010091
8.000000,1.381194,2.992087
8.100000,1.318039,2.964086
8.200000,1.251677,2.926370
8.300000,1.182775,2.879318
8.400000,1.112029,2.823404
8.500000,1.040149,2.759190
8.600000,0.967862,2.687324
8.700000,0.895895,2.608528
8.800000,0.824973,2.523597
8.900000,0.755811,2.433387
9.000000,0.689106,2.338805
9.100000,0.625530,2.240804
9.200000,0.565724,2.140372
9.300000,0.510290,2.038520
9.400000,0.459788,1.936276
9.500000,0.414726,1.834668
9.600000,0.375560,1.734721
9.700000,0.342683,1.637441
9.800000,0.316427,1.543810
9.900000,0.297057,1.454770
10.000000,0.284770,1.371220
